ticker,Company,Country
2INV.F,2INVEST AG  NA O.N.,DE
HRPK.F,7C SOLARPARKEN AG  O.N.,DE
LUM.F,A.I.S. AG,DE
ACWN.F,A.S.CREATION TAPETEN NA,DE
AAQ1.F,AAP IMPLANTATE AG,DE
A4Y.F,ACCENTRO REAL ESTATE AG  O.N.,DE
ADV.F,ADTRAN NETWORKS SE O.N.,DE
AHH.F,AHLERS AG NA O.N.,DE
ALG.F,ALBIS LEASING AG O.N.,DE
AEIN.F,ALLGEIER SE  NA O.N.,DE
AMA.F,ALTECH ADVANCED MATERIALS NA O.N.,DE
DTD2.F,B+S BANKSYSTEME AG O.N.,DE
BEZ.F,BERENTZEN-GRUPPE AG,DE
B1GR.F,BigRep SE,LU
BIJ.F,BIJOU BRIGITTE O.N.,DE
RTML.F,CAMERIT AG,DE
CPX.F,CAPSENSIXX AG  INH O.N.,DE
C0M.F,CCS ABWICKLUNGS AG,DE
CNW.F,CO.DON AG   INH. O.N.,DE
CCAP.F,CORESTATE CAPITAL HLDG,LU
O5G.F,"CPI PROPERTY GRP   EO-,10",LU
CSQ.F,CREDITSHELF AG  IA O.N.,DE
DRE2.F,DEUTSCHE REAL ESTATE AG O.N.,DE
DWNI.F,DEUTSCHE WOHNEN SE INH,DE
DFTK.F,DF DEUTSCHE FORFAIT AG  NA O.N.,DE
DIE.F,DIERIG HOLDING AG O.N.,DE
EIS.F,EISEN- UND HUETTENWERKE,DE
H2O.F,ENAPTER AG INH O.N. ,DE
EBK.F,ENBW ENERGIE BADEN-WUERTTEMBERG ON,DE
EKT.F,ENERGIEKONTOR O.N.,DE
ECX.F,EPIGENOMICS AG NA O.N.,DE
FVI.F,FAIR VALUE REIT-AG INH.ON,DE
FC9.F,FCR IMMOBILIEN AG NA O.N.,DE
FRS.F,FORIS AG,DE
FQT.F,FREQUENTIS AG,AT
CEA.F,FRIWO AG O.N.,DE
WWG.F,GELSENWASSER AG,DE
GGS.F,GIGASET AG O.N.,DE
IPOK.F,HEIDELBERGER BETEILIGUNGSHOLDING  O.N.,DE
IFS.F,INFAS HOLDING AG  O.N.,DE
ITN.F,INTERTAINMENT AG INH O.N.,DE
IQL.F,"IQ INTERNATIONAL AG         SF-,01",CH
IUR.F,KAP AG  INH O.N.,DE
KWG.F,KHD HUMBOLDT WEDAG O.N.,DE
HETA.F,KHD HUMBOLDT WEDAG VV NA O.N.,DE
KSC.F,KPS AG NA O.N.,DE
LRND.F,LEARND SE,LU
LEOW.F,Leo International Precision Health AG,DE
TUF.F,LIBERO FOOTBALL FINANCE AG,DE
LSX.F,LS TELCOM AG,DE
MNV6.F,MAINOVA AG O.N.,DE
M5Z.F,MANZ AG,DE
MS1.F,MARLEY SPOON GROUP SE,LU
MBH3.F,MASCHINENFABRIK BERTHOLD HERMLE O.N. VZO,DE
MAK.F,MATERNUS-KLINIKEN AG O.N.,DE
MDG1.F,MEDIGENE AG NA O.N.,DE
WOLF.F,META WOLF AG INH O.N.,DE
M3V.F,MEVIS MEDICAL SOLUTIONS NA O.N.,DE
ML2.F,MING LE SPORTS AG,DE
MLL.F,MUELLER-DIE LILA LOGISTIK SE,DE
WDL.F,NAKIKI SE,DE
NXR.F,NEXR TECHNOLOGIES SE  INH O.N.,DE
NC5A.F,NORCOM INFORMATION TECHNOLOGY INH ON,DE
NWX.F,NORDWEST HANDEL AG,DE
OBS.F,ORBIS SE O.N.,DE
PA8.F,PAION O.N,DE
ICP.F,Panamax New Energy AG,DE
PTHH.F,Path2 Hydrogen AG,DE
02P.F,PEARL GOLD AG,DE
PFV.F,PFEIFFER VACUUM TECH. AG O.N.,DE
EMH.F,PFERDEWETTEN.DE AG NA ON,DE
PIT.F,PITTLER MASCHINENFABRIK AG,DE
P4O.F,Planoptik AG,DE
PAH3.F,PORSCHE AUTOMOBIL HOLDING VZO,DE
EXJ.F,READCREST CAPITAL AG O.N.,DE
RTC.F,REALTECH AG O.N.,DE
HP3.F,RINGMETALL SE NA O.N.,DE
3330.F,Rostra AG,DE
RY8.F,ROY ASSET HLDG INH O.N.,DE
SWA.F,SCHLOSS WACHENHEIM AG O.N,DE
SCE.F,SCHWEIZER ELECTRONIC NA O.N.,DE
SIM.F,SIMONA AG O.N.,DE
SGU.F,SINO-GERMAN UNITED AG O.N.,DE
RCVR.F,SMG EUROPEAN RECOV.  EO 1,LU
WIG1.F,SPORTTOTAL AG  INH. O.N.,DE
STO3.F,STO SE+CO.KGAA VZO O.N.,DE
SF3.F,STS GROUP AG  O.N.,DE
TCU.F,TC UNTERHALTUNGSELEKTRONIK,DE
PU11.F,THE SOCIAL CHAIN AG,DE
TIS.F,TISCON AG i.A.,DE
TTO.F,TTL BETEILIGUNGS- UND GRUNDBESITZ AG INH ON,DE
CRIN.F,UNICREDIT,IT
UZU.F,UZIN UTZ SE O.N.,DE
VRV.F,Verve Group SE,SE
VXT.F,VIDINEXT AG,CH
MSH.F,WASGAU PRODUKTIONS & HANDELS NA O.N.,DE
RKB.F,WEBAC HOLDING AG,DE
WBAH.F,WILD BUNCH AG O.N.,DE
RTV.F,YOUR FAMILY ENTERTAINMENT AG NA,DE
ZEF.F,ZHONGDE WASTE TECHNOLOGY,DE
1U1.F,1&1 AG ,DE
TGT.F,11 88 0 SOLUTIONS AG,DE
UUU.F,3U HOLDING AG,DE
VSC.F,4SC AG,DE
YOU.F,ABOUT YOU Holding SE,DE
APM.F,"AD PEPPER MEDIA   EO 0,05",NL
ADN1.F,ADESSO SE  INH O.N.,DE
ADS.F,ADIDAS AG NA O.N.,DE
ADJ.F,ADLER GROUP S.A.,LU
QH9.F,ADTRAN HOLDINGS INC.,US
AIR.F,AIRBUS SE,NL
AIXA.F,AIXTRON SE NA O.N.,DE
A1OS.F,ALL FOR ONE GROUP NA O.N.,DE
LNSX.F,Allane SE,DE
ALV.F,ALLIANZ SE NA O.N.,DE
ACT.F,ALZCHEM GROUP AG INH O.N.,DE
AAD.F,AMADEUS FIRE AG,DE
AAD.F,"AROUNDTOWN EO-,01",CY
ELB.F,Arzneiwerk AG VIDA ,DE
AOF.F,ATOSS SOFTWARE SE,DE
AAG.F,AUMANN AG  INH O.N.,DE
AMV0.F,AUMOVIO SE,DE
NDA.F,AURUBIS AG,DE
AG1.F,AUTO1 GROUP SE,DE
BAS.F,BASF SE NA O.N.,DE
BSL.F,BASLER AG O.N.,DE
BST.F,BASTEI LUEBBE AG  O.N.,DE
BMW3.F,BAY.MOTOREN WERKE  VZO,DE
BMW.F,BAY.MOTOREN WERKE AG ST,DE
BAYN.F,BAYER AG NA O.N.,DE
BYW.F,BAYWA AG NA O.N.,DE
BYW6.F,BAYWA AG VINK.NA. O.N.,DE
BBZA.F,"BB BIOTECH NAM.   SF 0,20",CH
BC8.F,BECHTLE AG O.N.,DE
BFSA.F,BEFESA S.A. ORD. O.N.,LU
BEI.F,BEIERSDORF AG O.N.,DE
BDT.F,BERTRANDT AG O.N.,DE
ACX.F,BET-AT-HOME.COM AG O.N.,DE
BIKE.F,BIKE24 HOLDING AG,DE
GBF.F,BILFINGER SE O.N.,DE
B8F.F,BIOFRONTERA AG NA O.N.,DE
BVB.F,BORUSSIA DORTMUND,DE
BNN.F,BRAIN BIOTECH AG,DE
BRK.F,BRANICKS Group AG,DE
BNR.F,BRENNTAG SE,DE
BKHT.F,BROCKHAUS TECHNOLOGIES AG,DE
COK.F,CANCOM SE O.N.,DE
AFX.F,CARL ZEISS MEDITEC AG,DE
CEC.F,CECONOMY AG  ST O.N.,DE
CSH.F,CENIT AG O.N.,DE
CWC.F,CEWE STIFTUNG KGAA  O.N.,DE
C3RY.F,CHERRY SE,DE
