Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"16 May 2026"
"All datapoints provided as of end of last active trading day."
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;39.10;39.50;37.70;38.66;"15/05/2026 17:35";CET;129540;4996457.96;38.66;15/05/2026
74SOFTWARE;FR0011040500;74SW;"Euronext Paris";EUR;36.20;36.40;35.60;36.20;"15/05/2026 17:35";CET;6932;249518.70;36.20;15/05/2026
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;1.018;1.04;0.99;0.996;"15/05/2026 17:35";CET;413823;417801.733;0.996;15/05/2026
"AB SCIENCE BSA";FR001400ZRT0;ABBS;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;0.274;15/05/2026
"AB SCIENCE BSA 25";FR00140118Z8;ABSBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;0.334;15/05/2026
"AB SCIENCE BSAAU25";FR0014011S49;ABBSA;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;0.334;15/05/2026
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;5.11;5.20;5.10;5.15;"15/05/2026 17:35";CET;29632;152948.20;5.15;15/05/2026
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;9.16;9.16;9.00;9.10;"15/05/2026 17:20";CET;2531;23012.22;9.10;15/05/2026
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;3.67;3.73;3.59;3.59;"15/05/2026 17:35";CET;80785;294557.29;3.59;15/05/2026
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;102.70;103.90;99.05;99.05;"15/05/2026 17:37";CET;130628;13068182.80;99.05;15/05/2026
"ABL Diagnostics";FR001400AHX6;ABLD;"Euronext Paris";EUR;3.70;3.86;3.50;3.74;"15/05/2026 17:28";CET;16968;62109.00;3.74;15/05/2026
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;4.40;4.46;4.40;4.46;"15/05/2026 17:35";CET;145;641.60;4.46;15/05/2026
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.22;0.22;0.22;0.22;"15/05/2026 16:44";CET;2233;491.26;0.22;15/05/2026
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;44.00;44.02;43.13;43.44;"15/05/2026 17:38";CET;696046;30238827.535;43.44;15/05/2026
ACHETER-LOUER.FR;FR0014011O84;ALALO;"Euronext Growth Paris";EUR;0.0024;0.003;0.0022;0.0026;"15/05/2026 15:05";CET;7393104;19048.5076;0.0026;15/05/2026
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;0.938;0.938;0.92;0.92;"15/05/2026 12:33";CET;346;318.788;0.92;15/05/2026
